Date,Open,High,Low,Close,Volume,ADL,OBV,+DI14,-DI14,ADX,MACD Line,Signal Line,MACD Histogram,RSI
2010-01-04,9031.9,9129.45,9031.9,9112.35,9606489,6238555.38852,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,9191.25,9214.0,9157.35,9192.15,16767524,7665999.49868,16767524,0.0,0.0,0.0,1.79038461538,0.994658119658,0.795726495726,0.0
2010-01-06,9243.9,9265.55,9183.65,9223.0,16215141,-1267117.24542,32982665,0.0,0.0,0.0,3.23796202181,1.9140449648,1.32391705701,0.0
2010-01-07,9240.25,9261.85,9153.25,9192.95,11676155,-6278889.98158,21306510,0.0,0.0,0.0,2.73205057109,2.19114713495,0.540903436133,0.0
2010-01-08,9185.05,9214.35,9141.45,9160.7,12438359,-11738807.9451,8868151,0.0,0.0,0.0,1.11632759359,1.87141262122,-0.755085027632,0.0
2010-01-11,9209.15,9248.0,9161.05,9173.55,12957323,-18463626.4485,21825474,0.0,0.0,0.0,0.673549242485,1.54672504567,-0.873175803183,0.0
2010-01-12,9173.85,9173.85,8973.05,8985.1,26424773,-46506547.7002,-4599299,0.0,0.0,0.0,-8.15911304148,-0.909563645991,-7.24954939549,0.0
2010-01-13,8912.6,8937.85,8836.7,8926.1,19855278,30484672.9946,-24454577,0.0,0.0,0.0,-16.7565252693,-4.71788652626,-12.0386387431,0.0
2010-01-14,8952.0,9040.0,8883.1,8910.8,16938680,-21915564.3085,-41393257,0.0,0.0,0.0,-23.2142025856,-8.99062729666,-14.2235752889,0.0
2010-01-15,8961.65,8982.55,8874.8,8911.1,19425549,-12673931.2733,-21967708,0.0,0.0,0.0,-27.4419125143,-13.1247862811,-14.3171262333,0.0
2010-01-18,8887.15,9120.35,8863.2,9093.25,17752627,28021743.3377,-4215081,0.0,0.0,0.0,-20.4079271664,-14.7182958914,-5.68963127507,0.0
2010-01-19,9125.9,9202.5,9093.95,9135.9,14762784,-6704792.7333,10547703,0.0,0.0,0.0,-12.6305102565,-14.2699270954,1.63941683885,0.0
2010-01-20,9177.75,9196.4,9104.1,9126.35,17648807,-18279804.4334,-7101104,0.0,0.0,0.0,-7.23448034483,-12.7809821301,5.54650178531,0.0
2010-01-21,9093.0,9098.1,8889.05,8919.3,18140491,-25781104.4061,-25241595,0.0,0.0,0.0,-15.1013444782,-13.2664036646,-1.83494081358,39.0
2010-01-22,8891.8,8891.8,8659.9,8772.65,21046522,-1161688.14834,-46288117,24.3297388207,40.5149386624,0.0,-29.5439109048,-16.6406249706,-12.9032859342,34.9224863059
2010-01-25,8724.8,8751.2,8669.55,8696.6,12814386,-8647552.58543,-59102503,23.0630640379,38.4056167536,0.0,-44.7439137031,-22.424072287,-22.3198414161,33.9151263113
2010-01-27,8564.6,8602.65,8294.6,8329.8,25504488,-39351673.9049,-84606991,18.9256377295,48.2482845203,0.0,-78.4800198968,-33.8935310602,-44.5864888366,25.896239791
2010-01-28,8396.5,8496.1,8354.25,8423.85,34620160,-1293527.30349,-49986831,17.5250108944,44.6775809587,0.0,-97.4231460097,-46.8325425596,-50.5906034501,29.5168899882
2010-01-29,8346.55,8687.0,8306.1,8651.55,38569989,62781289.5248,-11416842,22.5563419359,37.7807994123,0.0,-96.1894555655,-56.8482669614,-39.3411886042,38.1619759234
2010-02-01,8597.45,8712.25,8495.25,8649.25,20358895,17075202.2581,-31775737,21.6115632278,34.5121916784,0.0,-94.2277733356,-64.4113648178,-29.8164085178,39.866018473
2010-02-02,8666.7,8718.65,8453.9,8468.15,19575079,-34935693.3994,-51350816,19.4056848972,32.5837255645,0.0,-103.564209664,-72.3148303904,-31.2493792735,37.1079764327
2010-02-03,8489.8,8662.95,8489.8,8631.85,17646774,22615184.2368,-33704042,17.953622964,30.1455953059,0.0,-98.5781853624,-77.6065473643,-20.9716379981,41.3413645174
2010-02-04,8591.8,8623.25,8455.5,8471.1,17517164,-28518256.2647,-51221206,16.7329485657,29.4183943781,0.0,-104.463656579,-83.0098647635,-21.4537918159,39.4299575702
2010-02-05,8319.15,8319.15,8150.45,8223.25,18540082,-5077366.85477,-69761288,14.7669667515,37.1395332783,0.0,-124.840684734,-91.415724307,-33.424960427,36.1863379179
2010-02-06,8268.2,8293.25,8249.0,8275.2,2101628,774159.014689,-67659660,14.370034569,36.1412323917,0.0,-135.607870314,-100.287670775,-35.3201995397,36.1683018526
2010-02-08,8279.75,8412.3,8160.95,8342.2,15299740,13531458.9298,-52359920,17.4766101505,32.7383471908,0.0,-137.695855276,-107.791988082,-29.9038671938,36.621195228
2010-02-09,8322.0,8420.4,8271.55,8392.45,14994228,18726415.7555,-37365692,16.7948752087,30.883832969,0.0,-134.151864357,-113.076741086,-21.0751232714,36.5197374631
2010-02-10,8410.55,8444.2,8259.4,8290.0,13374885,-17891079.9351,-50740577,16.5191621917,28.7094497012,0.0,-137.150562886,-117.900836604,-19.2497262824,36.3449308402
2010-02-11,8327.7,8451.95,8327.7,8381.4,10898769,-2956044.38873,-39841808,16.2625982589,26.6860837803,31.1944408224,-131.306564861,-120.586137557,-10.7204273037,37.5053638307
2010-02-15,8441.6,8441.6,8282.05,8312.7,8571819,-10556956.65,-48413627,15.2624738629,26.8045074291,30.9260718733,-130.210068259,-122.513309421,-7.69675883827,37.9524134941
2010-02-16,8324.3,8432.15,8289.15,8397.8,8493163,8825762.39021,-39920464,14.4072699235,25.302567406,30.6768721349,-121.621066539,-122.334683942,0.713617403737,38.8139367437
2010-02-17,8446.55,8569.25,8446.55,8551.5,15712708,22333302.9764,-24207756,18.8302887813,23.5954655098,29.2879385554,-102.189263038,-118.302405061,16.1131420229,41.4843100267
2010-02-18,8574.75,8602.0,8523.35,8573.9,18048887,10303814.7018,-6158869,19.5660294062,22.8343858583,27.7465366846,-84.1618161908,-111.469956708,27.3081405175,40.326222908
2010-02-19,8490.25,8530.25,8407.95,8487.1,14813600,8721007.35895,-20972469,18.2298984578,26.0237659234,27.0226270186,-75.5593432351,-104.284190397,28.7248471622,40.4159200541
2010-02-22,8565.3,8598.25,8473.15,8493.35,10340839,-14002702.8505,-10631630,20.12750179,24.656829577,25.8148425084,-67.4931737306,-96.9230010108,29.4298272801,38.8283497617
2010-02-23,8491.4,8577.9,8453.4,8512.95,12335870,-1070099.56626,1704240,19.0547993873,24.1881834725,24.8188553419,-58.9326081791,-89.3224559265,30.3898477474,37.6850606998
2010-02-24,8463.45,8527.35,8458.45,8504.55,11256969,7613566.8418,-9552729,18.4681909706,23.4435420978,23.8940101158,-52.1915923927,-81.8943547744,29.7027623818,39.2721350958
2010-02-25,8520.6,8554.95,8469.65,8537.8,18820464,22505126.9402,9267735,19.0157549608,22.519243695,22.789797102,-43.7951786108,-74.2729366351,30.4777580243,38.5876766226
2010-02-26,8535.45,8851.35,8527.05,8722.75,24323606,10065457.6787,33591341,29.0759285094,19.3893175075,22.5895770118,-22.6416573329,-63.944964746,41.303307413,42.4728636713
2010-03-02,8826.9,8945.6,8826.9,8922.1,18123512,21894790.4027,51714853,30.3086010741,17.5810016797,22.8743899073,9.40382390697,-49.2732568109,58.6770807179,46.0184274697
2010-03-03,8922.15,9046.9,8922.15,9039.45,18803027,33114429.1134,70517880,33.0170469493,16.6447845776,23.5953260639,43.374400537,-30.741754734,74.116155271,47.0856435915
2010-03-04,9055.95,9068.95,8965.25,9013.8,16820143,-2141040.38187,53697737,32.4824301906,15.887702595,24.3605026525,67.4999401396,-11.0917441213,78.5916842608,48.3640035138
2010-03-05,9012.85,9095.3,8967.8,9038.45,16681174,3610983.54824,70378911,31.8112419105,14.9852099411,25.1887371599,87.5150788651,8.63096273389,78.8841161312,47.1306492898
2010-03-08,9102.15,9178.55,9093.45,9145.95,21139512,9886634.28437,91518423,33.5503128533,14.0413570901,26.3175684269,110.491516372,29.0041826852,81.4873336872,47.9849094318
2010-03-09,9118.7,9177.0,9073.5,9138.2,16236278,8125982.61256,75282145,31.9493179496,14.2911197595,27.1654409241,126.617499202,48.5276963574,78.0898028442,49.653309416
2010-03-10,9136.25,9156.0,9074.0,9119.25,15159557,3142834.9878,60122588,30.6994001553,13.7320241031,27.9527511001,136.325122723,66.0877935106,70.2373292123,51.0297384752
2010-03-11,9114.65,9219.2,9087.35,9186.85,13510984,13762041.344,73633572,31.792818055,12.8607832275,28.9845227536,147.625944007,82.395878213,65.2300657944,50.8579783848
2010-03-12,9201.15,9230.0,9145.6,9172.9,12581598,-8884635.5545,61051974,30.9967767053,12.321859941,29.99352705,153.700434156,96.6571074377,57.0433267185,52.3379405111
2010-03-15,9118.2,9146.2,9056.15,9085.5,10800991,-7520512.33426,50250983,29.1754959257,16.0996385736,29.9140522746,149.877021773,107.301280203,42.57574157,51.8219826503
2010-03-16,9071.0,9121.95,8986.75,9102.95,11514299,16556063.0592,61765282,27.1835778504,18.5050374329,29.1341180845,146.533481344,115.147832421,31.3856489228,50.4179542853
2010-03-17,9162.45,9221.05,9142.0,9188.4,16157111,5620753.35231,77922393,30.6071341418,17.3882585237,29.0203930678,148.931510807,121.904645247,27.0268655594,50.8028422759
2010-03-18,9214.1,9287.6,9172.05,9252.3,13951482,10854506.5495,91873875,32.2206098759,16.3486634231,29.2817211978,154.118883263,128.347551702,25.7713315603,50.6171009682
2010-03-19,9293.7,9294.1,9231.9,9270.8,11095350,5565513.18328,102969225,31.4913480254,15.8010193904,29.5599765276,157.873862979,134.252857111,23.6210058682,49.2622709407
2010-03-22,9171.2,9240.85,9066.7,9186.95,13898909,10590785.095,89070316,28.1581746192,22.6956719165,28.2158047984,152.420226779,137.886352286,14.5338744932,48.8821251145
2010-03-23,9192.45,9257.9,9166.4,9222.9,13720455,6447864.09836,102790771,27.6951353652,21.5922845086,27.0848307015,149.236726732,140.156437792,9.08028893978,48.0409564259
2010-03-25,9191.4,9342.0,9165.5,9318.25,23038698,33676963.6487,125829469,29.5254661187,19.6116372829,26.5913321613,152.550231533,142.635205814,9.91502571875,48.8678235083
2010-03-26,9331.65,9473.2,9321.5,9456.2,15949000,24748810.8108,141778469,33.9263785832,18.046564204,26.8743800619,164.281529239,146.964483457,17.3170457813,50.6909809681
2010-03-29,9452.1,9578.5,9452.1,9517.6,15054228,1095719.12658,156832697,37.1614955407,16.8642625419,27.6383206135,176.441489936,152.85989887,23.5815910665,50.4254736074
